state,constituency,candidate,party,status,votes,pct_electors,pct_valid
"Odisha
1 Bargarh (GEN)
2",MIZORAM (ST),DEVIKA SIKA,NAPt,U,4538,0.28,0.35
"Odisha
1 Bargarh (GEN)
2",Mayurbhanj (ST),ANJANI SOREN,JMM,S,135399,8.76,11.73
"Odisha
1 Bargarh (GEN)
2",Mayurbhanj (ST),SANTILATA CHATTAR,IND,Z,8477,0.55,0.73
"Odisha
1 Bargarh (GEN)
2",Balasore (GEN),LEKHASRI SAMANTSINGHAR,BJD,S,416335,25.86,33.81
"Odisha
1 Bargarh (GEN)
2",Bhadrak (SC),MANJULATA MANDAL,BJD,S,481775,27.16,37.29
"Odisha
1 Bargarh (GEN)
2",Jajpur (SC),SARMISTHA SETHI,BJD,S,532652,34.4,46.14
"Odisha
1 Bargarh (GEN)
2",Jajpur (SC),ER. SANDHYA RANI MALLICK,BSP,N,3218,0.21,0.28
"Odisha
1 Bargarh (GEN)
2",Jajpur (SC),JHUNA MALIK,MLD,U,2077,0.13,0.18
"Odisha
1 Bargarh (GEN)
2",Dhenkanal (GEN),SASHMITA BEHERA,INC,N,34730,2.26,2.95
"Odisha
1 Bargarh (GEN)
2",Dhenkanal (GEN),MANASI SWAIN,SUCI,U,3384,0.22,0.29
"Odisha
1 Bargarh (GEN)
2",Dhenkanal (GEN),SWAPNA RANI JAMES,US,U,1608,0.1,0.14
"Odisha
1 Bargarh (GEN)
2",Bolangir (GEN),SANGEETA KUMARI SINGH DEO,BJP,N,617744,34.25,44.63
"Odisha
1 Bargarh (GEN)
2",Kalahandi (GEN),DROUPADI MAJHI,INC,N,303199,17.81,23.07
"Odisha
1 Bargarh (GEN)
2",Kalahandi (GEN),MALVIKA DEVI,BJP,N,544303,31.98,41.41
"Odisha
1 Bargarh (GEN)
2",Kandhamal (GEN),KANAK MANJARI RATH,IND,Z,5205,0.39,0.53
"Odisha
1 Bargarh (GEN)
2",Cuttack (GEN),MINATI PATNAIK,SAMO,U,1251,0.08,0.11
"Odisha
1 Bargarh (GEN)
2",Cuttack (GEN),SOBHA PANDEY,IND,Z,3888,0.25,0.35
"Odisha
1 Bargarh (GEN)
2",DR. RAJASHREE MALLICK,BHANUMATI DAS,US,U,677,0.04,0.05
"Odisha
1 Bargarh (GEN)
2",Bhubaneswar (GEN),APARAJITA SARANGI,BJP,N,512519,30.6,47.72
"Odisha
1 Bargarh (GEN)
2",Bhubaneswar (GEN),SANTILATA ROUT,SZPB,U,1441,0.09,0.13
"Odisha
1 Bargarh (GEN)
2",,RANJITA SAHU,BJD,S,394252,24.29,39.58
"Odisha
1 Bargarh (GEN)
2",,DAMINI JANI,BSP,N,15413,1.04,1.39
"Odisha
1 Bargarh (GEN)
2",,PRAMILA PUJARI,SUCI,U,4867,0.33,0.44
"Odisha
1 Bargarh (GEN)
2",,SUMAN KANTA,NBBHNRSVP,U,8387,0.57,0.76
Punjab,Gurdaspur (GEN),SANTOSH KUMARI,MEDP,U,1194,0.07,0.11
Punjab,Gurdaspur (GEN),SANTOSH KAUR,IND,Z,4738,0.29,0.44
Punjab,,NARINDER KAUR,AJPI,U,1097,0.07,0.12
Punjab,,SHARANJIT KAUR,IND,Z,2460,0.15,0.27
Punjab,,RAJWANT KAUR KHALSA,ASJP,U,952,0.06,0.1
Punjab,,PARAMJIT KAUR TEJI,IND,Z,500,0.03,0.05
Punjab,Hoshiarpur (SC),ANITA SOM PARKASH,BJP,N,199994,12.36,21.21
Punjab,Hoshiarpur (SC),YAMINI GOMAR,INC,N,259748,16.05,27.55
Punjab,Anandpur Sahib (GEN),SUNAINA,BRRTD,U,1640,0.09,0.15
Punjab,Anandpur Sahib (GEN),KIRAN JAIN,HSS,U,515,0.03,0.05
Punjab,Ludhiana (GEN),HARVINDER KAUR,SMJSNGP,U,419,0.02,0.04
Punjab,Ludhiana (GEN),DR. PALWINDER KAUR,IND,Z,1768,0.1,0.17
Punjab,,KULWANT KAUR,SJVP,U,786,0.05,0.08
Punjab,Bathinda (GEN),HARSIMRAT KAUR BADAL,SAD,S,376558,22.7,32.85
Punjab,Bathinda (GEN),PARAMPAL KAUR SIDHU,BJP,N,110762,6.68,9.66
Punjab,Bathinda (GEN),POONAM RANI,NATJUP,U,1064,0.06,0.09
Punjab,Sangrur (GEN),HARPREET KAUR,INGRP,U,1105,0.07,0.11
Punjab,Patiala (GEN),PRENEET KAUR,BJP,N,288998,15.95,25.24
Punjab,Patiala (GEN),DIMPLE,IND,Z,850,0.05,0.07
Punjab,Patiala (GEN),BINDER KAUR,IND,Z,711,0.04,0.06
Rajasthan,GANGANAGAR (SC),PRIYANKA BALAN MEGHWAL,BJP,N,638339,30.34,45.58
Rajasthan,CHURU (GEN),GOMATI DHARAMPAL KATARIA,BRKP(D),U,4961,0.22,0.35
Rajasthan,JAIPUR RURAL (GEN),KAHANVI BOHRA,IND,Z,1711,0.08,0.14
Rajasthan,BHARATPUR (SC),ANJILA JATAV,BSP,N,9508,0.45,0.84
Rajasthan,BHARATPUR (SC),SANJNA JATAV,INC,N,579890,27.29,51.43
Rajasthan,BHARATPUR (SC),ANEETA,IND,Z,5119,0.24,0.45
Rajasthan,KARAULI-DHOLPUR (SC),INDU DEVI,BJP,N,431066,21.77,43.96
Rajasthan,AJMER (GEN),PREM LATA,IND,Z,1155,0.06,0.1
Rajasthan,NAGAUR (GEN),JYOTI MIRDHA,BJP,N,554730,25.74,45.11
Rajasthan,PALI (GEN),SANGEETA BENIWAL,INC,N,512038,21.8,38.21
